epoch,lr,loss,acc,val_loss,val_acc
0.0,0.1,1.3306586887550353,51.786,1.0676136099815368,61.47
1.0,0.1,0.9489964641427994,66.49,0.8141576989650726,71.1
2.0,0.1,0.7920928881645203,72.462,0.7586097437381745,73.76
3.0,0.1,0.6841790577507019,76.172,0.707576007437706,75.37
4.0,0.1,0.6078237664270401,78.89,0.578887849187851,80.42
5.0,0.1,0.5488447048377991,81.18,0.5432259337425231,81.35
6.0,0.1,0.49690642644882205,82.932,0.5648140320539474,80.68
7.0,0.1,0.45162538046836853,84.434,0.5902024887323379,80.04
8.0,0.1,0.41490910213947296,85.798,0.512687472987175,82.18
9.0,0.1,0.3805589014673233,86.928,0.5025281888008117,83.09
